sseqid	PathwayID	Description
AT1G54100	ath00561	Glycerolipid metabolism 
AT1G73480	ath00561	Glycerolipid metabolism 
AT1G80380	ath00561	Glycerolipid metabolism 
AT1G80460	ath00561	Glycerolipid metabolism 
AT2G19450	ath00561	Glycerolipid metabolism 
AT2G20900	ath00561	Glycerolipid metabolism 
AT2G37790	ath00561	Glycerolipid metabolism 
AT2G38110	ath00561	Glycerolipid metabolism 
AT3G02600	ath00561	Glycerolipid metabolism 
AT3G03520	ath00561	Glycerolipid metabolism 
AT3G06510	ath00561	Glycerolipid metabolism 
AT3G09560	ath00561	Glycerolipid metabolism 
AT3G11430	ath00561	Glycerolipid metabolism 
AT3G11670	ath00561	Glycerolipid metabolism 
AT3G44830	ath00561	Glycerolipid metabolism 
AT3G48000	ath00561	Glycerolipid metabolism 
AT3G51520	ath00561	Glycerolipid metabolism 
AT3G56040	ath00561	Glycerolipid metabolism 
AT3G56310	ath00561	Glycerolipid metabolism 
AT3G57650	ath00561	Glycerolipid metabolism 
AT4G00400	ath00561	Glycerolipid metabolism 
AT4G00550	ath00561	Glycerolipid metabolism 
AT4G01950	ath00561	Glycerolipid metabolism 
AT4G28130	ath00561	Glycerolipid metabolism 
AT4G30340	ath00561	Glycerolipid metabolism 
AT4G30580	ath00561	Glycerolipid metabolism 
AT4G31780	ath00561	Glycerolipid metabolism 
AT4G33030	ath00561	Glycerolipid metabolism 
AT4G36250	ath00561	Glycerolipid metabolism 
AT5G01220	ath00561	Glycerolipid metabolism 
AT5G01670	ath00561	Glycerolipid metabolism 
AT5G04040	ath00561	Glycerolipid metabolism 
AT5G07920	ath00561	Glycerolipid metabolism 
AT5G08370	ath00561	Glycerolipid metabolism 
AT5G08380	ath00561	Glycerolipid metabolism 
AT5G13640	ath00561	Glycerolipid metabolism 
AT5G20410	ath00561	Glycerolipid metabolism 
AT5G42870	ath00561	Glycerolipid metabolism 
AT5G57440	ath00561	Glycerolipid metabolism 
AT5G60620	ath00561	Glycerolipid metabolism 
AT5G63770	ath00561	Glycerolipid metabolism 
AT1G07230	ath00562	Inositol phosphate metabolism 
AT1G09870	ath00562	Inositol phosphate metabolism 
AT1G14520	ath00562	Inositol phosphate metabolism 
AT1G21980	ath00562	Inositol phosphate metabolism 
AT1G22100	ath00562	Inositol phosphate metabolism 
AT1G22620	ath00562	Inositol phosphate metabolism 
AT1G31190	ath00562	Inositol phosphate metabolism 
AT1G34260	ath00562	Inositol phosphate metabolism 
AT1G49340	ath00562	Inositol phosphate metabolism 
AT1G60490	ath00562	Inositol phosphate metabolism 
AT1G60890	ath00562	Inositol phosphate metabolism 
AT1G71010	ath00562	Inositol phosphate metabolism 
AT2G21170	ath00562	Inositol phosphate metabolism 
AT2G22240	ath00562	Inositol phosphate metabolism 
AT2G26870	ath00562	Inositol phosphate metabolism 
AT2G40116	ath00562	Inositol phosphate metabolism 
AT2G43980	ath00562	Inositol phosphate metabolism 
AT3G02870	ath00562	Inositol phosphate metabolism 
AT3G03530	ath00562	Inositol phosphate metabolism 
AT3G07960	ath00562	Inositol phosphate metabolism 
AT3G08510	ath00562	Inositol phosphate metabolism 
AT3G09920	ath00562	Inositol phosphate metabolism 
AT3G10550	ath00562	Inositol phosphate metabolism 
AT3G14205	ath00562	Inositol phosphate metabolism 
AT3G14270	ath00562	Inositol phosphate metabolism 
AT3G19420	ath00562	Inositol phosphate metabolism 
AT3G48610	ath00562	Inositol phosphate metabolism 
AT3G50110	ath00562	Inositol phosphate metabolism 
AT3G51460	ath00562	Inositol phosphate metabolism 
AT3G51830	ath00562	Inositol phosphate metabolism 
AT3G55440	ath00562	Inositol phosphate metabolism 
AT3G55940	ath00562	Inositol phosphate metabolism 
AT3G56960	ath00562	Inositol phosphate metabolism 
AT4G08170	ath00562	Inositol phosphate metabolism 
AT4G18010	ath00562	Inositol phosphate metabolism 
AT4G38570	ath00562	Inositol phosphate metabolism 
AT4G39120	ath00562	Inositol phosphate metabolism 
AT5G16760	ath00562	Inositol phosphate metabolism 
AT5G58730	ath00562	Inositol phosphate metabolism 
AT5G61760	ath00562	Inositol phosphate metabolism 
AT5G63980	ath00562	Inositol phosphate metabolism 
AT5G64070	ath00562	Inositol phosphate metabolism 
AT1G08750	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G11880	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G16040	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G53710	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G63110	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G74340	ath00563	Glycosylphosphatidylinositol (GPI)
AT2G22530	ath00563	Glycosylphosphatidylinositol (GPI)
AT2G34980	ath00563	Glycosylphosphatidylinositol (GPI)
AT2G39445	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G01380	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G07140	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G07180	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G27325	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G45100	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G57170	ath00563	Glycosylphosphatidylinositol (GPI)
AT3G58130	ath00563	Glycosylphosphatidylinositol (GPI)
AT4G17910	ath00563	Glycosylphosphatidylinositol (GPI)
AT4G35530	ath00563	Glycosylphosphatidylinositol (GPI)
AT5G14850	ath00563	Glycosylphosphatidylinositol (GPI)
AT5G19130	ath00563	Glycosylphosphatidylinositol (GPI)
AT5G22130	ath00563	Glycosylphosphatidylinositol (GPI)
AT5G46850	ath00563	Glycosylphosphatidylinositol (GPI)
AT1G06520	ath00564	Glycerophospholipid metabolism 
AT1G07230	ath00564	Glycerophospholipid metabolism 
AT1G12640	ath00564	Glycerophospholipid metabolism 
AT1G13560	ath00564	Glycerophospholipid metabolism 
AT1G15080	ath00564	Glycerophospholipid metabolism 
AT1G15110	ath00564	Glycerophospholipid metabolism 
AT1G32200	ath00564	Glycerophospholipid metabolism 
AT1G43710	ath00564	Glycerophospholipid metabolism 
AT1G48600	ath00564	Glycerophospholipid metabolism 
AT1G51260	ath00564	Glycerophospholipid metabolism 
AT1G55180	ath00564	Glycerophospholipid metabolism 
AT1G62430	ath00564	Glycerophospholipid metabolism 
AT1G71697	ath00564	Glycerophospholipid metabolism 
AT1G74320	ath00564	Glycerophospholipid metabolism 
AT1G78690	ath00564	Glycerophospholipid metabolism 
AT1G80860	ath00564	Glycerophospholipid metabolism 
AT1G80950	ath00564	Glycerophospholipid metabolism 
AT2G06925	ath00564	Glycerophospholipid metabolism 
AT2G20900	ath00564	Glycerophospholipid metabolism 
AT2G26830	ath00564	Glycerophospholipid metabolism 
AT2G26870	ath00564	Glycerophospholipid metabolism 
AT2G32260	ath00564	Glycerophospholipid metabolism 
AT2G38110	ath00564	Glycerophospholipid metabolism 
AT2G38670	ath00564	Glycerophospholipid metabolism 
AT2G39290	ath00564	Glycerophospholipid metabolism 
AT2G40690	ath00564	Glycerophospholipid metabolism 
AT2G41540	ath00564	Glycerophospholipid metabolism 
AT2G42010	ath00564	Glycerophospholipid metabolism 
AT2G44810	ath00564	Glycerophospholipid metabolism 
AT2G45150	ath00564	Glycerophospholipid metabolism 
AT2G45670	ath00564	Glycerophospholipid metabolism 
AT3G02040	ath00564	Glycerophospholipid metabolism 
AT3G02600	ath00564	Glycerophospholipid metabolism 
AT3G03310	ath00564	Glycerophospholipid metabolism 
AT3G03530	ath00564	Glycerophospholipid metabolism 
AT3G05510	ath00564	Glycerophospholipid metabolism 
AT3G09560	ath00564	Glycerophospholipid metabolism 
AT3G10370	ath00564	Glycerophospholipid metabolism 
AT3G11430	ath00564	Glycerophospholipid metabolism 
AT3G15650	ath00564	Glycerophospholipid metabolism 
AT3G15730	ath00564	Glycerophospholipid metabolism 
AT3G16785	ath00564	Glycerophospholipid metabolism 
AT3G48610	ath00564	Glycerophospholipid metabolism 
AT3G57650	ath00564	Glycerophospholipid metabolism 
AT3G58830	ath00564	Glycerophospholipid metabolism 
AT4G00400	ath00564	Glycerophospholipid metabolism 
AT4G01950	ath00564	Glycerophospholipid metabolism 
AT4G04870	ath00564	Glycerophospholipid metabolism 
AT4G11850	ath00564	Glycerophospholipid metabolism 
AT4G16700	ath00564	Glycerophospholipid metabolism 
AT4G19860	ath00564	Glycerophospholipid metabolism 
AT4G22340	ath00564	Glycerophospholipid metabolism 
AT4G24730	ath00564	Glycerophospholipid metabolism 
AT4G28130	ath00564	Glycerophospholipid metabolism 
AT4G30340	ath00564	Glycerophospholipid metabolism 
AT4G30580	ath00564	Glycerophospholipid metabolism 
AT4G35790	ath00564	Glycerophospholipid metabolism 
AT4G38570	ath00564	Glycerophospholipid metabolism 
AT5G04040	ath00564	Glycerophospholipid metabolism 
AT5G07920	ath00564	Glycerophospholipid metabolism 
AT5G08030	ath00564	Glycerophospholipid metabolism 
AT5G20060	ath00564	Glycerophospholipid metabolism 
AT5G40610	ath00564	Glycerophospholipid metabolism 
AT5G41080	ath00564	Glycerophospholipid metabolism 
AT5G42870	ath00564	Glycerophospholipid metabolism 
AT5G57190	ath00564	Glycerophospholipid metabolism 
AT5G60620	ath00564	Glycerophospholipid metabolism 
AT5G63770	ath00564	Glycerophospholipid metabolism 
AT1G07230	ath00565	Ether lipid metabolism 
AT1G12640	ath00565	Ether lipid metabolism 
AT1G13560	ath00565	Ether lipid metabolism 
AT1G55180	ath00565	Ether lipid metabolism 
AT1G80950	ath00565	Ether lipid metabolism 
AT2G06925	ath00565	Ether lipid metabolism 
AT2G26870	ath00565	Ether lipid metabolism 
AT2G42010	ath00565	Ether lipid metabolism 
AT2G45670	ath00565	Ether lipid metabolism 
AT3G03530	ath00565	Ether lipid metabolism 
AT3G15730	ath00565	Ether lipid metabolism 
AT3G16785	ath00565	Ether lipid metabolism 
AT3G48610	ath00565	Ether lipid metabolism 
AT4G11850	ath00565	Ether lipid metabolism 
AT4G35790	ath00565	Ether lipid metabolism 
AT5G04040	ath00565	Ether lipid metabolism 
AT2G06925	ath00590	Arachidonic acid metabolism 
AT4G29210	ath00590	Arachidonic acid metabolism 
AT5G04040	ath00590	Arachidonic acid metabolism 
AT5G13520	ath00590	Arachidonic acid metabolism 
AT5G42150	ath00590	Arachidonic acid metabolism 
AT5G51030	ath00590	Arachidonic acid metabolism 
AT1G55020	ath00591	Linoleic acid metabolism 
AT1G67560	ath00591	Linoleic acid metabolism 
AT1G72520	ath00591	Linoleic acid metabolism 
AT2G06925	ath00591	Linoleic acid metabolism 
AT3G22400	ath00591	Linoleic acid metabolism 
AT3G45140	ath00591	Linoleic acid metabolism 
AT5G04040	ath00591	Linoleic acid metabolism 
AT1G04710	ath00592	alpha
AT1G06290	ath00592	alpha
AT1G13280	ath00592	alpha
AT1G20480	ath00592	alpha
AT1G20510	ath00592	alpha
AT1G67560	ath00592	alpha
AT1G72520	ath00592	alpha
AT1G76680	ath00592	alpha
AT1G76690	ath00592	alpha
AT1G77120	ath00592	alpha
AT2G06050	ath00592	alpha
AT2G06925	ath00592	alpha
AT2G33150	ath00592	alpha
AT2G44810	ath00592	alpha
AT3G01420	ath00592	alpha
AT3G03310	ath00592	alpha
AT3G06860	ath00592	alpha
AT3G45140	ath00592	alpha
AT3G51840	ath00592	alpha
AT4G13010	ath00592	alpha
AT4G16760	ath00592	alpha
AT4G19860	ath00592	alpha
AT4G29010	ath00592	alpha
AT5G04040	ath00592	alpha
AT5G42650	ath00592	alpha
AT5G65110	ath00592	alpha
AT1G05590	ath00600	Sphingolipid metabolism 
AT1G07380	ath00600	Sphingolipid metabolism 
AT1G69640	ath00600	Sphingolipid metabolism 
AT1G72990	ath00600	Sphingolipid metabolism 
AT3G06060	ath00600	Sphingolipid metabolism 
AT3G24180	ath00600	Sphingolipid metabolism 
AT3G51730	ath00600	Sphingolipid metabolism 
AT3G54440	ath00600	Sphingolipid metabolism 
AT3G55260	ath00600	Sphingolipid metabolism 
AT3G56310	ath00600	Sphingolipid metabolism 
AT4G04930	ath00600	Sphingolipid metabolism 
AT4G22330	ath00600	Sphingolipid metabolism 
AT4G36480	ath00600	Sphingolipid metabolism 
AT5G08370	ath00600	Sphingolipid metabolism 
AT5G08380	ath00600	Sphingolipid metabolism 
AT5G23670	ath00600	Sphingolipid metabolism 
AT5G49900	ath00600	Sphingolipid metabolism 
AT5G51290	ath00600	Sphingolipid metabolism 
AT1G61050	ath00601	Glycosphingolipid biosynthesis 
AT2G38150	ath00601	Glycosphingolipid biosynthesis 
AT5G01250	ath00601	Glycosphingolipid biosynthesis 
AT1G05590	ath00603	Glycosphingolipid biosynthesis 
AT1G61050	ath00603	Glycosphingolipid biosynthesis 
AT2G38150	ath00603	Glycosphingolipid biosynthesis 
AT3G55260	ath00603	Glycosphingolipid biosynthesis 
AT3G56310	ath00603	Glycosphingolipid biosynthesis 
AT5G01250	ath00603	Glycosphingolipid biosynthesis 
AT5G08370	ath00603	Glycosphingolipid biosynthesis 
AT5G08380	ath00603	Glycosphingolipid biosynthesis 
AT1G05590	ath00604	Glycosphingolipid biosynthesis 
AT1G72990	ath00604	Glycosphingolipid biosynthesis 
AT3G55260	ath00604	Glycosphingolipid biosynthesis 
AT1G01090	ath00620	Pyruvate metabolism 
AT1G08110	ath00620	Pyruvate metabolism 
AT1G11840	ath00620	Pyruvate metabolism 
AT1G22440	ath00620	Pyruvate metabolism 
AT1G23800	ath00620	Pyruvate metabolism 
AT1G32440	ath00620	Pyruvate metabolism 
AT1G32780	ath00620	Pyruvate metabolism 
AT1G34430	ath00620	Pyruvate metabolism 
AT1G36160	ath00620	Pyruvate metabolism 
AT1G44170	ath00620	Pyruvate metabolism 
AT1G48030	ath00620	Pyruvate metabolism 
AT1G53240	ath00620	Pyruvate metabolism 
AT1G53310	ath00620	Pyruvate metabolism 
AT1G54100	ath00620	Pyruvate metabolism 
AT1G59900	ath00620	Pyruvate metabolism 
AT1G67280	ath00620	Pyruvate metabolism 
AT1G68750	ath00620	Pyruvate metabolism 
AT1G74040	ath00620	Pyruvate metabolism 
AT1G77120	ath00620	Pyruvate metabolism 
AT1G79750	ath00620	Pyruvate metabolism 
AT2G13560	ath00620	Pyruvate metabolism 
AT2G31350	ath00620	Pyruvate metabolism 
AT2G34590	ath00620	Pyruvate metabolism 
AT2G36580	ath00620	Pyruvate metabolism 
AT2G37790	ath00620	Pyruvate metabolism 
AT2G38040	ath00620	Pyruvate metabolism 
AT2G42600	ath00620	Pyruvate metabolism 
AT2G47510	ath00620	Pyruvate metabolism 
AT3G02720	ath00620	Pyruvate metabolism 
AT3G10850	ath00620	Pyruvate metabolism 
AT3G13930	ath00620	Pyruvate metabolism 
AT3G15020	ath00620	Pyruvate metabolism 
AT3G16910	ath00620	Pyruvate metabolism 
AT3G22960	ath00620	Pyruvate metabolism 
AT3G25860	ath00620	Pyruvate metabolism 
AT3G47520	ath00620	Pyruvate metabolism 
AT3G48000	ath00620	Pyruvate metabolism 
AT3G52200	ath00620	Pyruvate metabolism 
AT3G52990	ath00620	Pyruvate metabolism 
AT4G00570	ath00620	Pyruvate metabolism 
AT4G15530	ath00620	Pyruvate metabolism 
AT4G16155	ath00620	Pyruvate metabolism 
AT4G17260	ath00620	Pyruvate metabolism 
AT4G22110	ath00620	Pyruvate metabolism 
AT4G36250	ath00620	Pyruvate metabolism 
AT5G01670	ath00620	Pyruvate metabolism 
AT5G03370	ath00620	Pyruvate metabolism 
AT5G03860	ath00620	Pyruvate metabolism 
AT5G06580	ath00620	Pyruvate metabolism 
AT5G08570	ath00620	Pyruvate metabolism 
AT5G09660	ath00620	Pyruvate metabolism 
AT5G15530	ath00620	Pyruvate metabolism 
AT5G16390	ath00620	Pyruvate metabolism 
AT5G24760	ath00620	Pyruvate metabolism 
AT5G25880	ath00620	Pyruvate metabolism 
AT5G35360	ath00620	Pyruvate metabolism 
AT5G36880	ath00620	Pyruvate metabolism 
AT5G42250	ath00620	Pyruvate metabolism 
AT5G43330	ath00620	Pyruvate metabolism 
AT5G43940	ath00620	Pyruvate metabolism 
AT5G47720	ath00620	Pyruvate metabolism 
AT5G48230	ath00620	Pyruvate metabolism 
AT5G50850	ath00620	Pyruvate metabolism 
AT5G52920	ath00620	Pyruvate metabolism 
AT5G56350	ath00620	Pyruvate metabolism 
AT5G58330	ath00620	Pyruvate metabolism 
AT5G65690	ath00620	Pyruvate metabolism 
AT1G11860	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G12550	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G17650	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G32470	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G36370	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G48030	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G53240	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G66200	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G67090	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G68010	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G79870	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G80380	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G13360	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G26080	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G35120	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G41220	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G42790	ath00630	Glyoxylate and dicarboxylate metabolism 
AT2G44350	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G14130	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G14420	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G15020	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G16910	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G25530	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G47520	ath00630	Glyoxylate and dicarboxylate metabolism 
AT3G48990	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G13930	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G16155	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G18360	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G26970	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G32520	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G33010	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G35090	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G35830	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G37550	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G37560	ath00630	Glyoxylate and dicarboxylate metabolism 
AT4G37930	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G03860	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G09660	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G14780	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G16570	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G35630	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G36790	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G36880	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G38410	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G43330	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G47435	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G47720	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G47760	ath00630	Glyoxylate and dicarboxylate metabolism 
AT5G48230	ath00630	Glyoxylate and dicarboxylate metabolism 
AT1G06290	ath00640	Propanoate metabolism 
AT1G06550	ath00640	Propanoate metabolism 
AT1G21400	ath00640	Propanoate metabolism 
AT1G36160	ath00640	Propanoate metabolism 
AT1G48030	ath00640	Propanoate metabolism 
AT1G55510	ath00640	Propanoate metabolism 
AT2G20420	ath00640	Propanoate metabolism 
AT2G30660	ath00640	Propanoate metabolism 
AT2G38040	ath00640	Propanoate metabolism 
AT3G06850	ath00640	Propanoate metabolism 
AT3G24360	ath00640	Propanoate metabolism 
AT3G51840	ath00640	Propanoate metabolism 
AT3G60510	ath00640	Propanoate metabolism 
AT4G04320	ath00640	Propanoate metabolism 
AT4G16155	ath00640	Propanoate metabolism 
AT4G16210	ath00640	Propanoate metabolism 
AT4G16760	ath00640	Propanoate metabolism 
AT4G17260	ath00640	Propanoate metabolism 
AT4G20930	ath00640	Propanoate metabolism 
AT4G31810	ath00640	Propanoate metabolism 
AT5G09300	ath00640	Propanoate metabolism 
AT5G15530	ath00640	Propanoate metabolism 
AT5G16390	ath00640	Propanoate metabolism 
AT5G23250	ath00640	Propanoate metabolism 
AT5G35360	ath00640	Propanoate metabolism 
AT5G36880	ath00640	Propanoate metabolism 
AT5G65110	ath00640	Propanoate metabolism 
AT5G65940	ath00640	Propanoate metabolism 
AT1G17650	ath00650	Butanoate metabolism 
AT1G79440	ath00650	Butanoate metabolism 
AT2G02000	ath00650	Butanoate metabolism 
AT2G02010	ath00650	Butanoate metabolism 
AT2G26800	ath00650	Butanoate metabolism 
AT2G31810	ath00650	Butanoate metabolism 
AT3G15290	ath00650	Butanoate metabolism 
AT3G16910	ath00650	Butanoate metabolism 
AT3G22200	ath00650	Butanoate metabolism 
AT3G25530	ath00650	Butanoate metabolism 
AT3G48560	ath00650	Butanoate metabolism 
AT3G56840	ath00650	Butanoate metabolism 
AT4G11820	ath00650	Butanoate metabolism 
AT4G16210	ath00650	Butanoate metabolism 
AT5G17330	ath00650	Butanoate metabolism 
AT5G47720	ath00650	Butanoate metabolism 
AT5G48230	ath00650	Butanoate metabolism 
AT2G31810	ath00660	C5
AT2G43090	ath00660	C5
AT3G48560	ath00660	C5
AT4G13430	ath00660	C5
AT1G11860	ath00670	One carbon pool by folate 
AT1G31220	ath00670	One carbon pool by folate 
AT1G36370	ath00670	One carbon pool by folate 
AT1G50480	ath00670	One carbon pool by folate 
AT1G66520	ath00670	One carbon pool by folate 
AT1G76730	ath00670	One carbon pool by folate 
AT2G16370	ath00670	One carbon pool by folate 
AT2G35040	ath00670	One carbon pool by folate 
AT3G59970	ath00670	One carbon pool by folate 
AT4G13930	ath00670	One carbon pool by folate 
AT4G32520	ath00670	One carbon pool by folate 
AT4G37930	ath00670	One carbon pool by folate 
AT5G13050	ath00670	One carbon pool by folate 
AT5G47435	ath00670	One carbon pool by folate 
AT1G13440	ath00710	Carbon fixation in photosynthetic organisms 
AT1G16300	ath00710	Carbon fixation in photosynthetic organisms 
AT1G32060	ath00710	Carbon fixation in photosynthetic organisms 
AT1G42970	ath00710	Carbon fixation in photosynthetic organisms 
AT1G43670	ath00710	Carbon fixation in photosynthetic organisms 
AT1G53240	ath00710	Carbon fixation in photosynthetic organisms 
AT1G53310	ath00710	Carbon fixation in photosynthetic organisms 
AT1G56190	ath00710	Carbon fixation in photosynthetic organisms 
AT1G67090	ath00710	Carbon fixation in photosynthetic organisms 
AT1G68750	ath00710	Carbon fixation in photosynthetic organisms 
AT1G72330	ath00710	Carbon fixation in photosynthetic organisms 
AT1G79550	ath00710	Carbon fixation in photosynthetic organisms 
AT1G79750	ath00710	Carbon fixation in photosynthetic organisms 
AT2G01140	ath00710	Carbon fixation in photosynthetic organisms 
AT2G01290	ath00710	Carbon fixation in photosynthetic organisms 
AT2G13560	ath00710	Carbon fixation in photosynthetic organisms 
AT2G21170	ath00710	Carbon fixation in photosynthetic organisms 
AT2G30970	ath00710	Carbon fixation in photosynthetic organisms 
AT2G36460	ath00710	Carbon fixation in photosynthetic organisms 
AT2G42600	ath00710	Carbon fixation in photosynthetic organisms 
AT2G45290	ath00710	Carbon fixation in photosynthetic organisms 
AT3G01850	ath00710	Carbon fixation in photosynthetic organisms 
AT3G04120	ath00710	Carbon fixation in photosynthetic organisms 
AT3G04790	ath00710	Carbon fixation in photosynthetic organisms 
AT3G15020	ath00710	Carbon fixation in photosynthetic organisms 
AT3G26650	ath00710	Carbon fixation in photosynthetic organisms 
AT3G47520	ath00710	Carbon fixation in photosynthetic organisms 
AT3G54050	ath00710	Carbon fixation in photosynthetic organisms 
AT3G55440	ath00710	Carbon fixation in photosynthetic organisms 
AT3G55800	ath00710	Carbon fixation in photosynthetic organisms 
AT3G60750	ath00710	Carbon fixation in photosynthetic organisms 
AT4G00570	ath00710	Carbon fixation in photosynthetic organisms 
AT4G15530	ath00710	Carbon fixation in photosynthetic organisms 
AT4G26530	ath00710	Carbon fixation in photosynthetic organisms 
AT4G38970	ath00710	Carbon fixation in photosynthetic organisms 
AT5G09660	ath00710	Carbon fixation in photosynthetic organisms 
AT5G19550	ath00710	Carbon fixation in photosynthetic organisms 
AT5G25880	ath00710	Carbon fixation in photosynthetic organisms 
AT5G38410	ath00710	Carbon fixation in photosynthetic organisms 
AT5G43330	ath00710	Carbon fixation in photosynthetic organisms 
AT5G44520	ath00710	Carbon fixation in photosynthetic organisms 
AT5G58330	ath00710	Carbon fixation in photosynthetic organisms 
AT5G61410	ath00710	Carbon fixation in photosynthetic organisms 
AT5G64380	ath00710	Carbon fixation in photosynthetic organisms 
AT5G65690	ath00710	Carbon fixation in photosynthetic organisms 
AT1G02880	ath00730	Thiamine metabolism 
AT1G22940	ath00730	Thiamine metabolism 
AT1G67440	ath00730	Thiamine metabolism 
AT2G37250	ath00730	Thiamine metabolism 
AT2G39270	ath00730	Thiamine metabolism 
AT3G01820	ath00730	Thiamine metabolism 
AT3G16990	ath00730	Thiamine metabolism 
AT3G24030	ath00730	Thiamine metabolism 
AT4G15560	ath00730	Thiamine metabolism 
AT5G11380	ath00730	Thiamine metabolism 
AT5G32470	ath00730	Thiamine metabolism 
AT5G35170	ath00730	Thiamine metabolism 
AT5G47840	ath00730	Thiamine metabolism 
AT5G50370	ath00730	Thiamine metabolism 
AT5G54770	ath00730	Thiamine metabolism 
AT5G63400	ath00730	Thiamine metabolism 
AT5G65720	ath00730	Thiamine metabolism 
AT5G66005	ath00730	Thiamine metabolism 
AT1G14700	ath00740	Riboflavin metabolism 
AT1G79790	ath00740	Riboflavin metabolism 
AT2G01890	ath00740	Riboflavin metabolism 
AT2G20690	ath00740	Riboflavin metabolism 
AT2G22450	ath00740	Riboflavin metabolism 
AT2G42070	ath00740	Riboflavin metabolism 
AT2G44050	ath00740	Riboflavin metabolism 
AT3G17790	ath00740	Riboflavin metabolism 
AT3G24030	ath00740	Riboflavin metabolism 
AT3G47390	ath00740	Riboflavin metabolism 
AT4G11570	ath00740	Riboflavin metabolism 
AT4G20960	ath00740	Riboflavin metabolism 
AT4G21470	ath00740	Riboflavin metabolism 
AT4G29680	ath00740	Riboflavin metabolism 
AT5G08340	ath00740	Riboflavin metabolism 
AT5G59750	ath00740	Riboflavin metabolism 
AT5G64300	ath00740	Riboflavin metabolism 
AT1G17710	ath00750	Vitamin B6 metabolism 
AT2G46580	ath00750	Vitamin B6 metabolism 
AT3G16050	ath00750	Vitamin B6 metabolism 
AT4G29530	ath00750	Vitamin B6 metabolism 
AT4G29840	ath00750	Vitamin B6 metabolism 
AT4G35630	ath00750	Vitamin B6 metabolism 
AT5G01410	ath00750	Vitamin B6 metabolism 
AT5G37850	ath00750	Vitamin B6 metabolism 
AT5G49970	ath00750	Vitamin B6 metabolism 
AT5G53580	ath00750	Vitamin B6 metabolism 
AT5G60540	ath00750	Vitamin B6 metabolism 
AT1G05620	ath00760	Nicotinate and nicotinamide metabolism 
AT1G21640	ath00760	Nicotinate and nicotinamide metabolism 
AT1G55090	ath00760	Nicotinate and nicotinamide metabolism 
AT1G72880	ath00760	Nicotinate and nicotinamide metabolism 
AT1G78590	ath00760	Nicotinate and nicotinamide metabolism 
AT2G01350	ath00760	Nicotinate and nicotinamide metabolism 
