sseqid	PathwayID	Description
AT4G35260	ath00020	Citrate cycle (TCA cycle) 
AT4G35830	ath00020	Citrate cycle (TCA cycle) 
AT5G03290	ath00020	Citrate cycle (TCA cycle) 
AT5G09660	ath00020	Citrate cycle (TCA cycle) 
AT5G14590	ath00020	Citrate cycle (TCA cycle) 
AT5G23250	ath00020	Citrate cycle (TCA cycle) 
AT5G40650	ath00020	Citrate cycle (TCA cycle) 
AT5G43330	ath00020	Citrate cycle (TCA cycle) 
AT5G50850	ath00020	Citrate cycle (TCA cycle) 
AT5G65690	ath00020	Citrate cycle (TCA cycle) 
AT5G66760	ath00020	Citrate cycle (TCA cycle) 
AT1G09420	ath00030	Pentose phosphate pathway 
AT1G12000	ath00030	Pentose phosphate pathway 
AT1G12230	ath00030	Pentose phosphate pathway 
AT1G13700	ath00030	Pentose phosphate pathway 
AT1G17160	ath00030	Pentose phosphate pathway 
AT1G23190	ath00030	Pentose phosphate pathway 
AT1G43670	ath00030	Pentose phosphate pathway 
AT1G70730	ath00030	Pentose phosphate pathway 
AT1G76550	ath00030	Pentose phosphate pathway 
AT2G01140	ath00030	Pentose phosphate pathway 
AT2G01290	ath00030	Pentose phosphate pathway 
AT2G16790	ath00030	Pentose phosphate pathway 
AT2G22480	ath00030	Pentose phosphate pathway 
AT2G24270	ath00030	Pentose phosphate pathway 
AT2G36460	ath00030	Pentose phosphate pathway 
AT2G44530	ath00030	Pentose phosphate pathway 
AT2G45290	ath00030	Pentose phosphate pathway 
AT3G01850	ath00030	Pentose phosphate pathway 
AT3G02360	ath00030	Pentose phosphate pathway 
AT3G04790	ath00030	Pentose phosphate pathway 
AT3G54050	ath00030	Pentose phosphate pathway 
AT3G60750	ath00030	Pentose phosphate pathway 
AT4G24620	ath00030	Pentose phosphate pathway 
AT4G26270	ath00030	Pentose phosphate pathway 
AT4G26530	ath00030	Pentose phosphate pathway 
AT4G29220	ath00030	Pentose phosphate pathway 
AT4G32840	ath00030	Pentose phosphate pathway 
AT4G38970	ath00030	Pentose phosphate pathway 
AT5G13110	ath00030	Pentose phosphate pathway 
AT5G13420	ath00030	Pentose phosphate pathway 
AT5G24400	ath00030	Pentose phosphate pathway 
AT5G35790	ath00030	Pentose phosphate pathway 
AT5G40760	ath00030	Pentose phosphate pathway 
AT5G41670	ath00030	Pentose phosphate pathway 
AT5G42740	ath00030	Pentose phosphate pathway 
AT5G44520	ath00030	Pentose phosphate pathway 
AT5G47810	ath00030	Pentose phosphate pathway 
AT5G51820	ath00030	Pentose phosphate pathway 
AT5G61410	ath00030	Pentose phosphate pathway 
AT5G61580	ath00030	Pentose phosphate pathway 
AT5G64380	ath00030	Pentose phosphate pathway 
AT1G02810	ath00040	Pentose and glucuronate interconversions 
AT1G04680	ath00040	Pentose and glucuronate interconversions 
AT1G11580	ath00040	Pentose and glucuronate interconversions 
AT1G65570	ath00040	Pentose and glucuronate interconversions 
AT1G67750	ath00040	Pentose and glucuronate interconversions 
AT2G21370	ath00040	Pentose and glucuronate interconversions 
AT2G21610	ath00040	Pentose and glucuronate interconversions 
AT2G37790	ath00040	Pentose and glucuronate interconversions 
AT2G43870	ath00040	Pentose and glucuronate interconversions 
AT2G45220	ath00040	Pentose and glucuronate interconversions 
AT3G01270	ath00040	Pentose and glucuronate interconversions 
AT3G01640	ath00040	Pentose and glucuronate interconversions 
AT3G01850	ath00040	Pentose and glucuronate interconversions 
AT3G05610	ath00040	Pentose and glucuronate interconversions 
AT3G05620	ath00040	Pentose and glucuronate interconversions 
AT3G07010	ath00040	Pentose and glucuronate interconversions 
AT3G07820	ath00040	Pentose and glucuronate interconversions 
AT3G07970	ath00040	Pentose and glucuronate interconversions 
AT3G09540	ath00040	Pentose and glucuronate interconversions 
AT3G14310	ath00040	Pentose and glucuronate interconversions 
AT3G24670	ath00040	Pentose and glucuronate interconversions 
AT3G29090	ath00040	Pentose and glucuronate interconversions 
AT3G47400	ath00040	Pentose and glucuronate interconversions 
AT3G53190	ath00040	Pentose and glucuronate interconversions 
AT3G55140	ath00040	Pentose and glucuronate interconversions 
AT3G59850	ath00040	Pentose and glucuronate interconversions 
AT4G02320	ath00040	Pentose and glucuronate interconversions 
AT4G13710	ath00040	Pentose and glucuronate interconversions 
AT4G18180	ath00040	Pentose and glucuronate interconversions 
AT4G24780	ath00040	Pentose and glucuronate interconversions 
AT4G30310	ath00040	Pentose and glucuronate interconversions 
AT4G33220	ath00040	Pentose and glucuronate interconversions 
AT5G01670	ath00040	Pentose and glucuronate interconversions 
AT5G04310	ath00040	Pentose and glucuronate interconversions 
AT5G09280	ath00040	Pentose and glucuronate interconversions 
AT5G14650	ath00040	Pentose and glucuronate interconversions 
AT5G15110	ath00040	Pentose and glucuronate interconversions 
AT5G15490	ath00040	Pentose and glucuronate interconversions 
AT5G17310	ath00040	Pentose and glucuronate interconversions 
AT5G19730	ath00040	Pentose and glucuronate interconversions 
AT5G49180	ath00040	Pentose and glucuronate interconversions 
AT5G49650	ath00040	Pentose and glucuronate interconversions 
AT5G51970	ath00040	Pentose and glucuronate interconversions 
AT5G52560	ath00040	Pentose and glucuronate interconversions 
AT5G57655	ath00040	Pentose and glucuronate interconversions 
AT5G61410	ath00040	Pentose and glucuronate interconversions 
AT5G63180	ath00040	Pentose and glucuronate interconversions 
AT1G06030	ath00051	Fructose and mannose metabolism 
AT1G07110	ath00051	Fructose and mannose metabolism 
AT1G12000	ath00051	Fructose and mannose metabolism 
AT1G17890	ath00051	Fructose and mannose metabolism 
AT1G43670	ath00051	Fructose and mannose metabolism 
AT1G47840	ath00051	Fructose and mannose metabolism 
AT1G48430	ath00051	Fructose and mannose metabolism 
AT1G50460	ath00051	Fructose and mannose metabolism 
AT1G66430	ath00051	Fructose and mannose metabolism 
AT1G67070	ath00051	Fructose and mannose metabolism 
AT1G74910	ath00051	Fructose and mannose metabolism 
AT1G76550	ath00051	Fructose and mannose metabolism 
AT2G01140	ath00051	Fructose and mannose metabolism 
AT2G19860	ath00051	Fructose and mannose metabolism 
AT2G20680	ath00051	Fructose and mannose metabolism 
AT2G21170	ath00051	Fructose and mannose metabolism 
AT2G22480	ath00051	Fructose and mannose metabolism 
AT2G36460	ath00051	Fructose and mannose metabolism 
AT2G39770	ath00051	Fructose and mannose metabolism 
AT2G45790	ath00051	Fructose and mannose metabolism 
AT3G51160	ath00051	Fructose and mannose metabolism 
AT3G54050	ath00051	Fructose and mannose metabolism 
AT3G55440	ath00051	Fructose and mannose metabolism 
AT4G11980	ath00051	Fructose and mannose metabolism 
AT4G26270	ath00051	Fructose and mannose metabolism 
AT4G26530	ath00051	Fructose and mannose metabolism 
AT4G29130	ath00051	Fructose and mannose metabolism 
AT4G29220	ath00051	Fructose and mannose metabolism 
AT4G32840	ath00051	Fructose and mannose metabolism 
AT4G38970	ath00051	Fructose and mannose metabolism 
AT5G01930	ath00051	Fructose and mannose metabolism 
AT5G47810	ath00051	Fructose and mannose metabolism 
AT5G51970	ath00051	Fructose and mannose metabolism 
AT5G57655	ath00051	Fructose and mannose metabolism 
AT5G61580	ath00051	Fructose and mannose metabolism 
AT5G64380	ath00051	Fructose and mannose metabolism 
AT5G66460	ath00051	Fructose and mannose metabolism 
AT1G23190	ath00052	Galactose metabolism 
AT1G47840	ath00052	Galactose metabolism 
AT1G50460	ath00052	Galactose metabolism 
AT1G55740	ath00052	Galactose metabolism 
AT1G56600	ath00052	Galactose metabolism 
AT1G60470	ath00052	Galactose metabolism 
AT1G62660	ath00052	Galactose metabolism 
AT1G63180	ath00052	Galactose metabolism 
AT1G70730	ath00052	Galactose metabolism 
AT1G72990	ath00052	Galactose metabolism 
AT2G19860	ath00052	Galactose metabolism 
AT2G22480	ath00052	Galactose metabolism 
AT2G47180	ath00052	Galactose metabolism 
AT3G13790	ath00052	Galactose metabolism 
AT3G17940	ath00052	Galactose metabolism 
AT3G47800	ath00052	Galactose metabolism 
AT3G52600	ath00052	Galactose metabolism 
AT3G54440	ath00052	Galactose metabolism 
AT3G56310	ath00052	Galactose metabolism 
AT3G57520	ath00052	Galactose metabolism 
AT4G01970	ath00052	Galactose metabolism 
AT4G10960	ath00052	Galactose metabolism 
AT4G26270	ath00052	Galactose metabolism 
AT4G29130	ath00052	Galactose metabolism 
AT4G29220	ath00052	Galactose metabolism 
AT4G32840	ath00052	Galactose metabolism 
AT5G08370	ath00052	Galactose metabolism 
AT5G08380	ath00052	Galactose metabolism 
AT5G11720	ath00052	Galactose metabolism 
AT5G11920	ath00052	Galactose metabolism 
AT5G17310	ath00052	Galactose metabolism 
AT5G18200	ath00052	Galactose metabolism 
AT5G20250	ath00052	Galactose metabolism 
AT5G40390	ath00052	Galactose metabolism 
AT5G47810	ath00052	Galactose metabolism 
AT5G51820	ath00052	Galactose metabolism 
AT5G52560	ath00052	Galactose metabolism 
AT5G61580	ath00052	Galactose metabolism 
AT1G14520	ath00053	Ascorbate and aldarate metabolism 
AT1G19570	ath00053	Ascorbate and aldarate metabolism 
AT1G23800	ath00053	Ascorbate and aldarate metabolism 
AT1G44170	ath00053	Ascorbate and aldarate metabolism 
AT1G54100	ath00053	Ascorbate and aldarate metabolism 
AT1G55570	ath00053	Ascorbate and aldarate metabolism 
AT1G63940	ath00053	Ascorbate and aldarate metabolism 
AT1G75270	ath00053	Ascorbate and aldarate metabolism 
AT2G37790	ath00053	Ascorbate and aldarate metabolism 
AT2G46760	ath00053	Ascorbate and aldarate metabolism 
AT3G01640	ath00053	Ascorbate and aldarate metabolism 
AT3G02870	ath00053	Ascorbate and aldarate metabolism 
AT3G09640	ath00053	Ascorbate and aldarate metabolism 
AT3G23820	ath00053	Ascorbate and aldarate metabolism 
AT3G27820	ath00053	Ascorbate and aldarate metabolism 
AT3G47930	ath00053	Ascorbate and aldarate metabolism 
AT3G48000	ath00053	Ascorbate and aldarate metabolism 
AT4G00110	ath00053	Ascorbate and aldarate metabolism 
AT4G08390	ath00053	Ascorbate and aldarate metabolism 
AT4G09010	ath00053	Ascorbate and aldarate metabolism 
AT4G26850	ath00053	Ascorbate and aldarate metabolism 
AT4G30440	ath00053	Ascorbate and aldarate metabolism 
AT4G32320	ath00053	Ascorbate and aldarate metabolism 
AT4G33670	ath00053	Ascorbate and aldarate metabolism 
AT4G35000	ath00053	Ascorbate and aldarate metabolism 
AT4G36250	ath00053	Ascorbate and aldarate metabolism 
AT4G39120	ath00053	Ascorbate and aldarate metabolism 
AT5G01670	ath00053	Ascorbate and aldarate metabolism 
